trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.99}",25,0,-166.62790030685514,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 4}",0
2,False,"{'a': 0.7, 'e': 0.9801}",25,0,-49.231588607814224,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
3,False,"{'a': 0.7, 'e': 0.970299}",25,0,-117.25556996795206,"{0: 11, 1: 6, 2: 6, 3: 2, 4: 0}",0
4,False,"{'a': 0.7, 'e': 0.96059601}",20,0,-82.67999269742629,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.7, 'e': 0.9509900498999999}",35,0,-232.37792764968864,"{0: 19, 1: 4, 2: 5, 3: 5, 4: 2}",0
6,False,"{'a': 0.7, 'e': 0.941480149401}",20,0,-164.9214537599448,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 3}",0
7,False,"{'a': 0.7, 'e': 0.9320653479069899}",30,0,-295.5546699379265,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 5}",0
8,False,"{'a': 0.7, 'e': 0.9227446944279201}",30,0,-96.38973843738589,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.7, 'e': 0.9135172474836408}",20,0,-151.53222828280394,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
10,False,"{'a': 0.7, 'e': 0.9043820750088044}",20,0,-42.91482335037149,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.7, 'e': 0.8953382542587164}",30,0,-175.87531031370665,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
12,False,"{'a': 0.7, 'e': 0.8863848717161292}",20,0,-60.09818788718132,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.7, 'e': 0.8775210229989678}",20,0,-84.16882312725531,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.7, 'e': 0.8687458127689782}",25,4,-82.74437684267927,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 2}",1
15,False,"{'a': 0.7, 'e': 0.8600583546412884}",25,0,-151.1377840765419,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
16,False,"{'a': 0.7, 'e': 0.8514577710948755}",25,10,-25.938426742332865,"{0: 9, 1: 4, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.7, 'e': 0.8429431933839268}",25,0,-114.8823599261614,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
