trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.33597661237877,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.40596347174541,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-52.48908466630555,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-221.7992747247878,"{0: 11, 1: 3, 2: 6, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-91.16224746692652,"{0: 18, 1: 5, 2: 5, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-154.0980395527851,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-157.88942842307623,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.97708291092125,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-47.16676270343665,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.20143586318633,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.25916248193535,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.04243571154,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.36619206627623,"{0: 9, 1: 7, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.90868880536667,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-189.0376515391003,"{0: 19, 1: 0, 2: 7, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.566861683540395,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-148.88353476997605,"{0: 11, 1: 5, 2: 1, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.21569189956872,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.67424061870122,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-112.95131129222843,"{0: 18, 1: 1, 2: 9, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.15433514412189,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-176.01749719996587,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-97.82303525853047,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-194.55060802585714,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-66.73280507165447,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-142.60064946533694,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-132.37107596696407,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-193.91581261258077,"{0: 17, 1: 2, 2: 6, 3: 3, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-125.08300167089041,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-140.05681080978903,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
